Name,Tag
Bolyy1,JAMBO
HMITA,yonny
Viking,100KG
ImTheSky,CSJA
moi support,000
Oshi,4444
ELejit,edgin
Planteig,EUW
fight fight,fight
Alastor,RADlO
Mewing Expert,LILPL
aa5a,天使222
Olunn,EUW
AoN KKッ,TWAGD
xd2,lisa
Starking20,EUW
Leothe,STAR
HUILUMIES,1980
SPACEGLIDE DEMON,KING
Optimas,EUW
Nagi Seishirо,LAZY
Cracky,MAIN
Kartoflen,EUW
XELEGION,EUW
4NUS,DEEP
Jojohadrian,2034
HHNeverImprove,EUW
Crips95v2,EUW
16 02 2017,EUW
Siegfried,4543
FouFou Bench,Crazy
Bless,KR2
Heavens Time,Angel
blåhaj gaming,EUD
Jungle OR Àfk,213
Elbodenbob,BOOOB
Haru,PEAK
Bjorn Waynard,EUW
ViruQs 2,EUW
T1 Gumayusi,FMVP
Ambes,ant
Tempest,Lachs
Sinyaa,EUW
Finanzamt,Cass
Smoke n Steel,EUW
malooon,FF15
LANGAGE CRYPTÉ,szn
等下个晴天,0322
stringthebest,EUW
Jfiz,EUW
SuperSladge,39359
Peugeot 206 CC,EUW
Michelangelo,feet
BBB bensol,EUW
banana ingot,EUW
La Mouche TsuTsu,EUW
Hero of Cyrodiil,EUW
Vendredi Vomi,BLEH
Lowey,EUW
Joe Kessler,BASED
theirumasmurf,EUW
Underhylermanden,EUW
cute tired Gun,EUW2
Crossfire,069
Squirry,Pingu
Makisuo,EUW
nepotism baby,tiff
ZaKEKW,0000
Even03,EUW
Element,Fyro
iTsunayoshiQLF,QLF
Kiko and Ahri,Fox
Artaxo,ola
greedy,219
Im Mylène,666
Roro Farmer,EUW
EinLeberkäseBide,EUW
PonderingSalami,EUW
Achille,ADC
DKB LittleLaudi,EUW
RedFlash,0000
AI Safir,808
ΨJuuzouΨ,4834
Armada,Flip
Traypo,Fat
LeRtyu,0000
juju9291,EUW
GubbiFitness,EUW
Fireflamme93,EUW
No Cannon No Cry,58845
I Satanael I,666
Lapinou,733
Denko,950
LIAN LEGENDS,EUW
Skrindo,EUW
SHURIMA HASSAN,LFI
D1VINEE,EUW
Snowbawl,EUW
LDR Mr Texx,LDR
Zhou ziyu tzuyu,KPOP
SigTech,EUW
Dekii,VIRGO
Dragulaxx,SVT
Surprise,944
Matzziash,Mathi
PXL Petite jute,3636
p0xx13,TFT
Hokopoko,EUW
Nelaf,TRF
v9s LordMuffel,EUW
CandyXD,lol
Shinedone,EUW
Pianofingerz,EUW
hot anxious mess,EUW
Apex Vayne,EUW
Frank5000,EUW
Engelsblut,0203
Manorcle,EUW
ßαßy,EUW
Ubergohst,EUW
Baertorv,EUW
Eg Drit I Da,EUW
Kanata 50kg,EUW
CROISSANT CHIEF,EUW
SUN Schüch,SMOCK
HADE TDàmsT,WOLF
Chenko,7050
Lulz3x,EUW
Corrane,5555
VES DragonShrek,EUW
Gieckh,EUW
NoxusBadGuy,EUW
ReformedPhuoc,8008
ReformedPhuoc,8008
Hirukoxx,Zyra
kajunkornerfizik,zbab
zerion00,8856
OFA Exdria,EUW
Totophenix,EUW
Fréak,Bird
LittUp,BOT
Shaitown,Shai
Fredda0930,EUW
Ecrøw,404
Kipro,RANK1
Herr Krebs,LME
EgoBreaki,EUW
dDXrEQu1s512xDpD,EUW
muchywa,EUW
Chiyosin,EUW
Carnıvora,AWOO
TTVGigidebeaujeu,TTV
Bateson87,EUW
UAG Mauri,2121
MaQ,2208
Blue Tigah,EUW
S3nS4t10n,EUW
majitel,hony
Suij,Kyubi
dKaz,1337
WaterEveryday,201
cofi1995,EUW
IrunUgo,MTJSB
zulling,EUW
Powerdidi,HIT
snadder,FF15
Nukepower,EUW
Drip,9464
YDragon,EUW
248,pro
Shoto Todoroki,FIRE
Gwynbleidd,FBLC3
ˆºˆ1ˆºˆ,EUW
xxlasse,1734
TessiaEralith,EUNE
kqlix,yo1
Peepak,7169
Guest5674,fever
J  G  K  I  N  G,888
Gumbur,2025
Snouze,Bingo
twtv ALLXlol,78901
DERITUSON,THEE
y u,sky
VitaminSea,888
0527,2705
Petulinko,0911
Muto,JGDIF
ATTACK TITAN,進撃の巨人
Divine Archangel,Pride
Dear Bruce,EUW5
Siƒ,Art
Xeni Del Fuego,9MWD
FLYTROOP,S7N
Dragonite,056
EVIL JORDAN,888
Humble player,777
EliteVulture,None
icera,ice
шashed,1704
H0LE LlCKER,FROG
Aymen,12332
IM SO FKN GOOD,TRASH
księżniczka,nya
Kerton,LOL
Paul Wesley,2177
Bunda,TOP
Fætter Andreas,72824
Lain,3692
Uxiα,2909
Bugge,TAE
Shoo shoo Bahnah,EUW
Onkelkush,MIK
uvsme,1337
Murellonomicon,EUW
K99999999999,EUW
Crymix,Crym
Alberto Sánchez,ggg
ShowerFighter,EUW
GOODUCK,Sadge
Taiga,erm
RELENTLESS,xxd
Daalym,EUW
GamingWarlord28,EUW
DreJavu,Drew
Black Tangerine,Echo
lBOSS,123
Kindred Rank 1,0001
Bookarinelan,EUW
Zgoodki,FSZ
Lost Chapter,MANA
ThickTentacles,JAPAN
Chovy,KRLCK
CBR1000RR 215HP,NND
WinnieSoul,EUW
Robalini Shoty,kadav
I AM A VISIONARY,FREAK
Destination Hell,EUW
El bicho,kira
REdate,Angel
Mortensen,PIG
TwoStone,2222
MAD FROM SHIELD,EUW
Tahia Tounes,siks
I FLAWŁESS I,EUW
Tout Naturel,Cynn
Thomines,IRE
TFK Skyress v2,EUW
Prospero,lisp
Nhabled,EUW
Karamel,taric
Goths add me,asap
astraf,EUW
rzicio,EUW
Egebjerg,0002
wuyek kuyek,ART60
Lakestone,Kai1
domusdejanna,EUW
Browismo,EUW
Robot Donut,5461
LeatherJacket007,BLAD
IfYouAreFrenchGC,DyeFR
VroumOnRandom,clio
Ðoaz,EUW
taurijus punia,777
aH4oux,2222
Ogap,akali
vxlle,EUW
lordkjaer,CLIFF
Gremy2,EUWD
Flowers of Evil,Kasu
Madam34,Ikea
Næseabe,euw2
heart missing,1v9
Цар Душан Силни,1986
Chenvapetsu,2535
gentle breeze,Berry
1v9 MATERlAL,EUW
Franknestien,EUW
dark magician,sorc
Fukuma,nee
TorokMakto,EUW
Pierlu,Scemo
bardao,BDao
HyperRuler,Hyper
Saeko,Rank1
kuki,jdd
NanintakerFanboy,SORIA
Mpelas,EUW
YoungTeol,Teol
Yoey,Poo
Sulite,Sulit
Garage Rusell72,EUW
Stop Tweaking,freak
Oguri Cap,First
Sandco,EUW
asphyxia,030
MoutonNerveux,EUW
Trinh thua Zeus,EUW
Monarin,111
5400,EUW
Fern,DCup
Meowentally ill,UwU
Jack Of DiamonD,jack
Snackinis27,EUW
Wanting,her
Last Dance,ToFu
MOVEMENT GAP,ankle
codæ,0000
Dr  Capote,DIO
smol feis pepe,EUW
D3ddy,EUW
wtvdred1,EUW
inescapabIe,EUW
Frozen,Mcdo
JG Niko,EUW
AlfredyN,EUW
Save The Penguin,EUW
DrKlunk,EUW
부대찌개만,moko
MrHolst,1234
TY 4 Support Me,EUW
Paprika Kaiser,trzm
Nezilis,EUW
WhyNoz,Coach
LOSTTOD1GARENOTP,XDD
WWWWWWWWVWWWWW,EUW
KR OwOOvOOwO,EUW
Old OTP Zilean,EUW
Mousslame,EUW
EPX Simp4Shrimp,Fora
Le Meilleur Bas,ADC
AlphaOmegaV,EUW
SPKTR,SPKTR
Lord Aideen,EUW
Kagjova,EUW
THE RUINED KING,LHERO
Harlem Realist,EUW
Ayssuo,EUW
Pelagius Hipbone,EUW
Haxyy,EUW
ZbychuZeStrychu,1234
Pablo el Pedrolo,EUW
008,008M
KissDevil,EUW
l Sorax l,EUW
Kokuro,00000
simongrey,simon
LncL,Dаisy
Bowsori,EUW
Shoyo,0107
have nice death,EUW
INT MCThunder,0000
Accalamite,SAPIN
BlauerKlaus,Qvy心
winstaff,EUW
Fiverr Caitlyn,EUW
Poro,1811
Skrockson,Pablo
DavidTrung03,EUW
GertrudeThePony,EUW
niba tbib,1337
gliding away,511
Destroyer D1,EUW
LightMistress,3491
Yeetified,EUW
MuxTheNugget,EUW
Vovoid,EUW
bjoe199786574,EUW
Nalasaurus,EUW
Volan,lOne
Jnouné,666
legend of leeks,EUW
MarFlow,EUW
Dogwauwau,EUW
Claudy Focan,BELG
Momonga,17051
TheCombatWombat,2304
No Kled No Gain,EUW
IV LMRX,EUW
Topolino,Pippo
Femboy Owner Irl,UwU
IvanJK,Gnod
JRB,EUW
六七 67,Gpp
Lord Squidward,90562
rei,bloom
LowerLearner,EUW
ARK Gass,223
SeñorRucky,CK14
Bacalhau,4444
yoonsang,toyou
Y0uth,EUW
jeorger,EUW
Rubikscube,EUW
Misanthiel,MIAOU
MV Toasti,777
سايون,7070
Niarn,EUW
Tamamo Cross,triki
RobertFly,EUW
Gaiben,CRACK
Hornets PO,gdfc
Koust1,EUW
不想玩啦,瓜子ˇ
Zambbza,SAUNA
Basick,WRKLN
FakennN,FLAY
CoreffMoiLesFess,5357
Łunax,EUW
ForFunOnlyACCADC,CORTI
Ekko Style,MJOL
UkrainianYoda,3635
MaXiMaL BlobFish,EUW
prayforbronze,EUW
BiØ MACHINE,BIØ
ShanX,PENAS
Kuba Aramowski,ARAM
Shyift,EUW
Jooa,EGIRL
gribouille02,EUW
saltland,EUW
CareAboutGhouls,EUW
Nivess,5656
Banseiboomx3,ADC
Pierre,ADC
Hisoka,LB02
BLGViper,KNG
Kastarino,EUW
Paranøya,TUN
TraumatiZed,WPGG
Threshy,Tr3sh
Improve,1801
PalaZune,EUW
Galore,ALO33
E D Ê N,3198
Corriragazzo,nora
iZyLeon,EUW
itamae,EUW
FxLiX,Demon
le gars baba,EUW
TimboAkimbo,Dead
BuiltLikeFiddle,EUW
Boeckleva,6969
QCB,EUW
NetroidAsol,ASol
BMCB,EUW
LL MI6,EUW
Snigeln Öman,EUW
KogMawesome,EUW
bee happy,bzbz
Rahsar,3169
Diros,ESP
Ramielle,EUW
Akurama,Aku
Routine Absurde,EUWGG
Zaahn,EUW
Surrend,KCORP
Cradlero ,EUW
Lil Tae,God
Baldei,ˉˉˉˉ
Eca Feu 120,FUSDO
King ßonoßo,EUW
Masterpleb,420
Neuil Triste,zzz
meSkayle,ff15
Garvi,000
zhelibukeyi,EUW
Ghettomaster,1337
MalleManden,KESI
ByrongoTirongo,EUW
Tom Dravy,EUW
ALGO,1109
Perceur,EUW
Simon RiIey,EUW
Archtypes,EUW
Serena,Blue
fuk4,EUW
Lastalop,EUW
hedgehog,4412
BIT ETHELJ,EUW
Shiroyasha,2503
SPXCTRXM,1996
Mizfit,EUW
Froschkneck,EUW
Meowing Menace,1582
Humble E ,EUW
Lilonours,EUW
MarksmanBL,EUW
Määge,EUW
Roger,14JR
Vinilo,Sen
Smoked Mackerel,OSRS
Dobi Free,EUW
7upO,ADC
Calme et Focus,EUW
Kallion,EUW
Ascendant Konga,Best
Freez,EUW98
tortuevsfranklin,EUW
Verax,0001
Deadera,EUW
GOAT1,EUW
Kenshu,EUX
Knilzz,EUW
Memphysto,EUW
Valcin,EUW
Powergoku,EUW
DuppyMaker,UK1
Ventus,4444
Woln,1205
Kibari,OwO
Shamo,100
Dreemy,T1me
Yoing,FR7
Gragadino,EUW
ThinkStr8,8EUW
TheSinkingShark,DAB
Krexxo,0000
Toruse,0101
El tio Sama,EUW
SMS,EUW
eJokeZyX,EUW
Trenchboy,EUW
I own his Cookie,Yuuma
dr kidqudi,2025
like fine wine,kubYD
Jiimich,EUW
Aimback,EUW
Bakanishi J,EUW
Bot Elise,EUW
Brelon,EUW
Trizze,EUW
EdwardElricc,EUW
Falilalala,MSGK
ChallangerRank1,Rank1
Eugenmsnw,KIZ
AfD Koblenz,Höcke
dubzy,EUW
Voydh,çakaï
Mimi,FCTN
Neremor,EUW
Motuyir,6548
DOG,4343
Texan Zed,EUNE1
Heartbreak Kid,EUNE1
Spotless,Tosia
DCT,Mosh
perle der natur,999
C1air Obscur,E33
cant save her,EUW
2 4,SIUUU
Kyrie Irving,1460
monk mental,pray
HoodPenguine5,Hood
LANES DIED ALR8D,unfun
Porsche Boxster,986
iwiww,wiii
Rynbemrak,7598
sametizibabo,men
euw owner041223,xormy
NE UNEȘTE NE DES,PARTE
Fly,337
SRANDY KOPEC ACC,Doge
TryNotToIntMePls,BLANK
Nitenroc,VOD2
Academic Weapon,RAAAH
ライト,Sas
Vidar,Meow
CAHKA3blP,GLHF
Łast Ðiana,Ðiana
Blue Judas,Gaga
FearDrug,1337
Rloanchan,8205
CatLover,BITE
McJonathann,Bzzz
cloud gracuś,FiveM
Сказочное Бали,Re1
Shadowx,gg15
PAIN HATE SAD,XDDD
Icelviriega,9616
CristianoRonaldo,rema
SSR ZAC PLAYER,1634
LEDI,6767
Strluachril,8527
TTV wejsonoski,mid
Israhell,1948
ZYB Kinkaku,30323
jan Bahulka,Emi
Mercs Lamont,Mercs
Tweth,BENIZ
p0saidn,0000
Noah,999ad
Potshing,EUW
young thug,EUWWW
CZ Indiana Jones,BRNO
zupiks,EUW
Meskeretis,LTU
Pinkman,nini
ImBackAlbert,EUW
mini sheiden,0414
TAKETHEPILLS,7564
SoproniMeggy,2004
Moreiraooo,Vynkz
Jenh,JAN
supp gap enjoyr,EUW
LEMONIDIS,729
seeking glory,EUW
Alpharadia,TOP
youns,1V9
theFool,024
Kennystarfighter,MUTED
fallen acc,555
Darth Nihilus,0810
Yoshua Sidestep,KUBI
DICKSLAPYAMAMA,Rat
Svensk Skaarl,7890
DASHKAI,00000
WitchSi,21321
lesnyludektv,EUW
Ervin,Twtv
dolores dei,JAM41
Șefu Dublajelor,5ari
Cameel Kaiser,BAY10
gagraxy,1234
kappachungus,3bl4n
Love ya Yuki,EUW
Imawizardxd,EUW
Déguste mon caca,Ben
Bob From Below,EUW
21k Gold Chain,Sylas
EnergySystems,APAC
SoldatDesHimmels,S Auf
Tyrael97,EUW
OZI,crg
C C,LOVER
Davezz,COS
PDW Picias,60TKA
Zentrue,JNG
luzak czilerman,maro
zenun lmao,EUW
TwTv iTsRafiita,KOI
Deutscher Badboy,TOPDB
Dont lie in,April
rydawarrior,yalla
diggy,GRIND
PapaSmurf,White
十V十V十V十V十V十V十V十,XXX
Monarch,talon
HasanPyker,EUW
ΑΒΥΣΣΑΛΕΟΣ,YEEEE
Silent Execution,Vayne
Queen Evelynn,0002
meczennik,kacci
GhistKIRITO,2203
blood vfx,EUW2
Aziz Shavershian,fuuua
Yaeeko,Chef
프란시스코 프랑코,AEVE
MOVE IN SILENCE,fogo
Baby Boy,lucia
WENN ICH WEIN,WIN
PCSA Danzig,1475
Mleko u kesi,6969
Bravery Enjoyer,1234
amumu,sad
Zeyyou,CANNA
FormulaBetona,EUW
Rex Mortis,King
Pelasek,EUW
aqqvkfgtj,EUW
Stricer,222
Revilibe,34289
PeskoV,Pesko
Torkeli,knipa
Gourmande,meow
tappa,007
Promise,xdxd
RiCH PiANA 999,999
Прыщ,vrbx
loser cassio,777
Bamboza,bomba
tvmaik,raw
SANSARSALVO16,beko
GØDSHΔRD DESCΞNT,333
sajat2004rCZLPYT,ZUBRI
1v9machine,1v9mc
오직 조이,0000
black linyue,EUW
MiamiHeat14,EUW
PokeAndPray,AIMQ
yangl diff,EUW
TF Dex,ambsh
Knutern,KES
Melo D Arslan,ES26
Toubsh,Top
Iodaiu,EUW
satutso,5775
Kledmania,Tomii
